name,id,type,path,release_date,genres,description,runtime,poster,backdrop
Between Worlds,500921,movie,/media/pi/F01/Flext/Filme/Between Worlds.mp4,2018-12-21,"['Action', 'Mystery', 'Thriller', 'Science Fiction']","Der vom Glück verlassene Trucker Joe leidet unter dem Verlust von Frau und Kind. Als er mitbekommt, wie eine Frau an einer Raststelle gewürgt wird, greift er ein und lernt so Julie kennen. Die ist zuerst alles andere als dankbar, denn sie wurde nicht angegriffen, sondern war mitten in einem Ritual. Sie ist angeblich spirituell begabt und glaubt, dass sie die verlorene Seele ihrer nach einem Motorradunfall im Koma liegenden Tochter Billie finden kann, so dass diese wieder aufwacht. Da Joe ihre Pläne durchkreuzt hat, soll er ihr nun bei ihrer verzweifelten Aktion helfen. Und sie schaffen es gemeinsam wirklich, dass Billie wieder aufwacht. Joe und Julie finden darüber zusammen, doch eine glückliche Familie kann nicht entstehen. Denn bald merkt Joe, dass mit Billie etwas nicht stimmt: Der Geist von Joes verstorbener Frau Mary steckt in ihr und der ist alles andere als gut ...",90,/7V25KUnWkf0NP7wtGkbmPjEfYf9.jpg,/3SrCDYkkibQ97zjdvf0NhTLTe3I.jpg
Booksmart,505600,movie,/media/pi/F01/Flext/Filme/Booksmart.mp4,2019-05-24,['Komödie'],"Molly und Amy haben in der Highschool alles richtig gemacht. Mit Bestnoten blicken sie nun wohlverdient einer glänzenden Zukunft an Elite-Unis entgegen und herab auf die Loser ihrer Klasse. Doch am letzten Schultag stellt Molly voller Entsetzen fest, dass es auch ihre Mitschüler an die besten Unis geschafft haben – obwohl diese offenbar nur Party im Kopf hatten. Fest entschlossen, sich nichts entgehen zu lassen, überredet sie Amy den Spaß der letzten Jahre in den noch verbleibenden Stunden auf der Highschool nachzuholen. Eine epische Nacht des schlechten Benehmens steht ihnen bevor, an deren Ende eine Lektion steht, die man nicht aus Büchern lernen kann. Kaitlyn Dever und Beanie Feldstein brillieren mit Witz und Girlpower als unbestechliches Duo und empfehlen sich als Stars von morgen.",102,/fyHEqMHRGCfzulmJc0qyJHqEnUi.jpg,/cheDSO3mYmsAFQlRM91o7MK6Wcc.jpg
Blitz,55846,movie,/media/pi/F01/Flext/Filme/Blitz.mp4,2011-05-20,"['Krimi', 'Action', 'Thriller']","Detective Sergeant Tom Brant ist der härteste Knochen von ganz Ostlondon und steht in dieser Funktion stets mit einem Bein in der fristlosen Entlassung. Nun aber dezimiert ein mysteriöser Copkiller die Bobbys von der Themse einen nach dem anderen aus dem Hinterhalt, und da könnte man einen wie Brant schon gebrauchen. Um ihn einzunorden, zwingt ihn der Chef, mit einem homosexuellen Kollegen als Partner zusammen zu arbeiten. Brant ist wenig begeistert, doch als ""die Schwuchtel"" sich wider Erwarten bewährt, rauft man sich zusammen...",97,/lLrC1DQbfijjjL0GFSlt8drJWyd.jpg,/tg4IgDUIP2FPAMHZIMo9UQSKoBS.jpg
Hellboy - Call of Darkness,456740,movie,/media/pi/F01/Flext/Filme/Hellboy - Call of Darkness.mp4,2019-04-10,"['Fantasy', 'Action', 'Abenteuer', 'Science Fiction']","Im Kampf gegen das Böse kann es nur einen geben: Halbdämon Hellboy! Mit geschärftem Schwert, glutroten Hörnern und legendärer Eisenfaust hat er diesmal eine ganz besonders apokalyptische Mission: Er muss die mächtige Hexe Nimue und das Monster Gruagach stoppen, die zusammen mit einer Reihe weiterer mythischer Wesen, Tod und Zerstörung unter die Menschen bringen wollen. Doch dafür brauchen sie Hellboy. Denn seine Bestimmung war einst, selbst den Weltuntergang zu starten – bis sein Ziehvater Professor Broom ihn auf die gute Seite holte und als Spezial-Agent gegen die Monster dieser Welt einsetzte. Während Hellboy nun von Broom für einen Auftrag nach London geschickt wird, zieht Nimue eine Schneise der Verwüstung durch ganz England. Und plötzlich sehen sich Hellboy und seine Mitstreiter Anna und Ben nicht nur mit einer Armee der Finsternis konfrontiert, sondern auch mit ureigenen Dämonen. Die blutrote Schlacht kann beginnen!",121,/zlXPRsFIPQdQGhuy6E3br29nvv5.jpg,/5BkSkNtfrnTuKOtTaZhl8avn4wU.jpg
Deep Water,619979,movie,/media/pi/F01/Flext/Filme/Deep Water.mp4,2022-03-18,"['Drama', 'Mystery', 'Thriller']","Von Liebe ist beim Ehepaar Victor Van Allen (Ben Affleck) und Melinda (Ana de Armas) keine Rede mehr. Die Emotionen haben sich in Luft aufgelöst und die einstige Verbindung im Alltag ist verloren gegangen. Um ihrer Ehe dennoch eine Chance zu geben, einigen sie sich darauf, dass Sex-Abenteuer und Affären außerhalb ihrer Ehe erlaubt sind. Das gegenseitige Einverständnis wandelt sich schnell in ein fieses Psychospiel, in dem sich Vic und Melinda nicht nur selbst schaden, sondern auch ihr Umfeld in Gefahr bringen. Als Melindas Liebhaber tot aufgefunden wird, konzentrieren sich die Ermittlungen der Polizei auf Victor. Hat der Ehemann Rache nehmen und seiner Frau einen Denkzettel verpassen wollen? Die Suche nach dem Mörder entwickelt sich zu einem Puzzlespiel, in dem die Rolle der Verdächtigen von einer Person zur anderen wechselt. Wer sagt die Wahrheit? Und wer spielt ein falsches Spiel auf Kosten von Menschenleben?",116,/oa3NGKUQ6o1Lj5moQXH2XuDVOm7.jpg,/qswImgf57wBf2i8Fv6K2O2BdMoe.jpg
Der Grinch,8871,movie,/media/pi/F01/Flext/Filme/Der Grinch.mp4,2000-11-17,"['Familie', 'Komödie', 'Fantasy']","Der Grinch ist eine grüne Kreatur, ganz und gar erfüllt vom Hass auf Weihnachten. Schlechte Kindheitserfahrungen haben dazu geführt, dass er den Kindern von Whoville jedes Jahr aufs neue Weihnachten verderben will. Er kommt dann aus seiner Höhle und klaut alle Geschenke. Die kleine Cindy Lou Who erkennt, dass der Grinch in Wahrheit ein ziemlich trauriges Wesen ist und versucht, ihm zu helfen. Kann sie ihn davon überzeugen, Weihnachten mitzufeiern, oder vermiest der Griesgram auch dieses Jahr wieder die Festtage?",104,/egfaghCwHDhQgag12Eix0eY4NbN.jpg,/4dtbvoAaqiM3fVwzdffLxUdAiY6.jpg
Glam Girls - Hinreissend verdorben,449562,movie,/media/pi/F01/Flext/Filme/Glam Girls - Hinreissend verdorben.mp4,2019-05-09,['Komödie'],"Der ausgewiesene Tollpatsch Penny und die hochnäsige Trickbetrügerin Josephine sind von den Männern dieser Welt enttäuscht, warum nicht einfach ein sehr produktives Bündnis bilden? Gemeinsam gehen sie auf die Jagd nach Millionären, um sich endlich zu nehmen, was ihnen eigentlich nicht gehört, ihnen aber zusteht. Einzig Pennys bauernhaftes Auftreten steht dem Unterfangen noch im Wege. Kurzerhand wird sie von Josephine in die Künste des Edelbetruges eingeweiht. Statt Hoodie und Twerken stehen nun High Heels und Tango auf dem Stundenplan. Doch die anfangs waghalsige Unternehmung wird sich schon bald auszahlen, denn aus dem Gangster-Entlein wird irgendwann doch ein ziemlich durchtriebener Schwan, mit ihrem ganz eigenem Stil.",94,/z2SpnmNiVfhyz6PEyVdXNxIQsZA.jpg,/s6awXOxTKYQLSktiIJfI3969dZH.jpg
Thunder Force,615678,movie,/media/pi/F01/Flext/Filme/Thunder Force.mp4,2021-04-09,"['Action', 'Abenteuer', 'Komödie', 'Science Fiction']","Als eine von ihnen eine Geheimformel entwickelt, die Superkräfte verleiht, avancieren zwei beste Kindheitsfreundinnen überraschend zu einem Superheldinnenduo.",107,/3mKMWP5OokB7QpcOMA1yl8BXFAF.jpg,/z7HLq35df6ZpRxdMAE0qE3Ge4SJ.jpg
The Domestics,426814,movie,/media/pi/F01/Flext/Filme/The Domestics.mp4,2018-06-28,"['Thriller', 'Horror']","In den USA haben politische Konflikte, Krankheit, Armut und die Überbevölkerung dafür gesorgt, dass die Ressourcen bald schon nicht mehr ausreichen werden und das Land kurz vor dem Untergang steht. So sieht die Regierung keinen anderen Ausweg, als alles Leben im Staatsgebiet mit Gift auszulöschen. Die Überlebenden des Massakers schließen sich in Stämmen und Gangs zusammen. Dieser brutalen und post-apokalyptischen Welt versucht ein junges Paar, unter Einsatz ihres Lebens, zu entkommen und bricht auf eine verzweifelte Fahrt auf, quer durch die Terrains rivalisierender Gruppierungen. Ein Kampf um Leben und Tod...",95,/6H67EHO8HSTP6I6TEyxME7OS0kZ.jpg,/rwr038BaQBqRQbnP8yps4hXp5Dp.jpg
Anna und die Apokalypse,461928,movie,/media/pi/F01/Flext/Filme/Anna und die Apokalypse.mp4,2018-11-30,"['Horror', 'Komödie', 'Fantasy']","Anna kann es gar nicht erwarten, dass sie endlich mit der Schule fertig ist, denn sie will unbedingt aus ihrer kleinen Heimatstadt Little Haven weg. Sie möchte die Welt sehen und etwas erleben, gerade auch weil ihr Vater andere Plänen für seine Tochter hat. Ihr bester Freund John hat indes andere Probleme, denn er ist in Anna verliebt und weiß nicht, wie er ihr das sagen soll. Doch all das rückt auf einmal in den Hintergrund, als ihr Leben durch eine Zombie-Invasion auf den Kopf gestellt wird.",107,/7Do9kKsSqIJUnobVYecwj0F1qDq.jpg,/7GR03LqwB7ePPPhaK5BAYNzt3Vm.jpg
